topic,message_type,bag_time_ns,bag_time_s,time_from_start_s,header_time_ns,header_time_s,z
/spool_cable_odom,nav_msgs/msg/Odometry,1784323010624458291,1784323010.624458313,0.000000000,1784136750931644225,1784136750.931644201,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323010749761432,1784323010.749761581,0.125303141,1784136751031666975,1784136751.031666994,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323010876110978,1784323010.876111031,0.251652687,1784136751131922972,1784136751.131922960,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323011007629266,1784323011.007629395,0.383170975,1784136751231686818,1784136751.231686831,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323011484173025,1784323011.484173059,0.859714734,1784136751331779098,1784136751.331779003,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323011484693910,1784323011.484694004,0.860235619,1784136751431619033,1784136751.431619167,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323011484881025,1784323011.484881163,0.860422734,1784136751531472272,1784136751.531472445,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323011498907107,1784323011.498907089,0.874448816,1784136751631629475,1784136751.631629467,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323011630347665,1784323011.630347729,1.005889374,1784136751731639257,1784136751.731639385,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323011642662280,1784323011.642662287,1.018203989,1784136751850128940,1784136751.850128889,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323011750058267,1784323011.750058174,1.125599976,1784136751831775187,1784136751.831775188,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323011874663606,1784323011.874663591,1.250205315,1784136751931786441,1784136751.931786537,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323012000117754,1784323012.000117779,1.375659463,1784136752031762453,1784136752.031762362,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323012126261364,1784323012.126261234,1.501803073,1784136752131654714,1784136752.131654739,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323012250393736,1784323012.250393867,1.625935445,1784136752231810778,1784136752.231810808,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323012262292814,1784323012.262292624,1.637834523,1784136752550025177,1784136752.550025225,0.000218017021
/spool_cable_odom,nav_msgs/msg/Odometry,1784323012375759085,1784323012.375759125,1.751300794,1784136752331639789,1784136752.331639767,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323012498507053,1784323012.498507023,1.874048762,1784136752431620148,1784136752.431620121,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323012523609803,1784323012.523609877,1.899151512,1784136752750342536,1784136752.750342607,-0.000063382999
/spool_cable_odom,nav_msgs/msg/Odometry,1784323012623981227,1784323012.623981237,1.999522936,1784136752531728936,1784136752.531728983,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323012751101522,1784323012.751101494,2.126643231,1784136752631556705,1784136752.631556511,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323012759708980,1784323012.759708881,2.135250689,1784136752949997952,1784136752.949998140,-0.000174258467
/spool_cable_odom,nav_msgs/msg/Odometry,1784323012880993926,1784323012.880994081,2.256535635,1784136752731742720,1784136752.731742620,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323012884000022,1784323012.884000063,2.259541731,1784136753050202401,1784136753.050202370,-0.000080549735
/spool_cable_odom,nav_msgs/msg/Odometry,1784323012998250426,1784323012.998250484,2.373792135,1784136752831741460,1784136752.831741333,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323013012911844,1784323013.012911797,2.388453553,1784136753150038850,1784136753.150038719,-0.000098462053
/spool_cable_odom,nav_msgs/msg/Odometry,1784323013125821705,1784323013.125821590,2.501363414,1784136752931764925,1784136752.931765079,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323013253521708,1784323013.253521681,2.629063417,1784136753031797129,1784136753.031797171,0.000000000000
/spool_cable_odom,nav_msgs/msg/Odometry,1784323013381978118,1784323013.381978035,2.757519827,1784136753131838030,1784136753.131837845,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323013397275237,1784323013.397275209,2.772816946,1784136753449953005,1784136753.449953079,0.000071020944
/spool_cable_odom,nav_msgs/msg/Odometry,1784323013498689046,1784323013.498688936,2.874230755,1784136753231734186,1784136753.231734276,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323013530359686,1784323013.530359745,2.905901395,1784136753550216770,1784136753.550216675,0.000076437627
/spool_cable_odom,nav_msgs/msg/Odometry,1784323013626142377,1784323013.626142502,3.001684086,1784136753331757779,1784136753.331757784,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323013674661025,1784323013.674661160,3.050202734,1784136753650383568,1784136753.650383711,0.000021563812
/spool_cable_odom,nav_msgs/msg/Odometry,1784323013749128675,1784323013.749128819,3.124670384,1784136753431562224,1784136753.431562185,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323013782078771,1784323013.782078743,3.157620480,1784136753750031737,1784136753.750031710,0.000040430226
/spool_cable_odom,nav_msgs/msg/Odometry,1784323013873782360,1784323013.873782158,3.249324069,1784136753531778115,1784136753.531778097,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323013906409237,1784323013.906409264,3.281950946,1784136753851191836,1784136753.851191759,-0.000049505046
/spool_cable_odom,nav_msgs/msg/Odometry,1784323013998653389,1784323013.998653412,3.374195098,1784136753631776445,1784136753.631776571,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323014034205005,1784323014.034204960,3.409746714,1784136753950122589,1784136753.950122595,-0.000018061561
/spool_cable_odom,nav_msgs/msg/Odometry,1784323014124903214,1784323014.124903202,3.500444923,1784136753731721087,1784136753.731720924,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323014162029174,1784323014.162029028,3.537570883,1784136754050057305,1784136754.050057173,0.000048306644
/spool_cable_odom,nav_msgs/msg/Odometry,1784323014249431252,1784323014.249431372,3.624972961,1784136753831726608,1784136753.831726551,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323014302337360,1784323014.302337170,3.677879069,1784136754150222394,1784136754.150222301,0.000040364640
/spool_cable_odom,nav_msgs/msg/Odometry,1784323014373987940,1784323014.373987913,3.749529649,1784136753931665968,1784136753.931665897,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323014409601827,1784323014.409601688,3.785143536,1784136754250173505,1784136754.250173330,0.000067132209
/spool_cable_odom,nav_msgs/msg/Odometry,1784323014498202002,1784323014.498202085,3.873743711,1784136754031703553,1784136754.031703472,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323014549458872,1784323014.549458981,3.925000581,1784136754350023894,1784136754.350023985,0.000093937978
/spool_cable_odom,nav_msgs/msg/Odometry,1784323014626149115,1784323014.626149178,4.001690824,1784136754131772727,1784136754.131772757,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323014656687902,1784323014.656687975,4.032229611,1784136754450737305,1784136754.450737476,-0.000003640814
/spool_cable_odom,nav_msgs/msg/Odometry,1784323014748874843,1784323014.748874664,4.124416552,1784136754231633744,1784136754.231633663,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323014788145501,1784323014.788145304,4.163687210,1784136754550130305,1784136754.550130367,-0.000016851385
/spool_cable_odom,nav_msgs/msg/Odometry,1784323014876234144,1784323014.876234293,4.251775853,1784136754331534113,1784136754.331534147,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323014928352139,1784323014.928352356,4.303893848,1784136754650262281,1784136754.650262356,0.000038550143
/spool_cable_odom,nav_msgs/msg/Odometry,1784323014998005338,1784323014.998005152,4.373547047,1784136754431586724,1784136754.431586742,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015032056970,1784323015.032057047,4.407598679,1784136754750203991,1784136754.750203848,0.000043049254
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015125442477,1784323015.125442505,4.500984186,1784136754531742092,1784136754.531742096,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015157952820,1784323015.157952785,4.533494529,1784136754850146878,1784136754.850146770,-0.000137596467
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015249525116,1784323015.249525070,4.625066825,1784136754631745209,1784136754.631745338,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015283998458,1784323015.283998489,4.659540167,1784136754949995698,1784136754.949995756,-0.000058435539
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015373723405,1784323015.373723507,4.749265114,1784136754731511875,1784136754.731511831,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015416624104,1784323015.416624069,4.792165813,1784136755050817608,1784136755.050817490,0.000026959629
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015498844270,1784323015.498844147,4.874385979,1784136754831698363,1784136754.831698418,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015540664845,1784323015.540664911,4.916206554,1784136755150184260,1784136755.150184155,0.000006679535
/spool_cable_odom,nav_msgs/msg/Odometry,1784323015625841020,1784323015.625840902,5.001382729,1784136754931711075,1784136754.931710958,0.000000000000
/kiss/odometry,nav_msgs/msg/Odometry,1784323015660938025,1784323015.660938025,5.036479734,1784136755250091660,1784136755.250091791,-0.000046487514
